run_id,makespan,energy,utilization,sla_violation
0,913.27,472890.74,0.8543,0.0326
1,918.83,463690.24,0.8075,0.0282
2,840.88,480887.04,0.8676,0.0383
3,856.26,530559.34,0.838,0.0437
4,951.66,464379.16,0.8139,0.0938
5,928.7,462631.12,0.8968,0.0114
6,995.38,539324.32,0.8455,0.0536
7,868.75,521226.79,0.8708,0.0467
8,881.58,451838.99,0.8621,0.0493
9,943.89,489466.15,0.8076,0.0699
10,893.73,471808.43,0.8523,0.0451
11,858.58,410317.01,0.8378,0.0521
12,1034.36,573318.51,0.7966,0.0947
13,924.35,582273.58,0.8579,0.0378
14,995.3,471105.54,0.8309,0.062
15,974.44,460875.08,0.8232,0.0645
16,998.18,461129.86,0.7911,0.0928
17,917.01,509023.79,0.834,0.0482
18,993.48,522289.92,0.8218,0.0468
19,826.59,403180.9,0.8588,0.0519
20,953.91,554885.49,0.8488,0.0552
21,971.25,556480.95,0.8478,0.0742
22,1047.81,550553.13,0.8313,0.0927
23,961.02,445024.48,0.7742,0.106
24,959.2,451826.15,0.8388,0.0549
25,985.08,545663.32,0.9038,0.0433
26,970.03,518761.23,0.8018,0.0733
27,1000.58,546608.75,0.8158,0.0435
28,908.19,479016.85,0.8292,0.0519
29,939.88,419359.73,0.8338,0.0578
30,1016.52,505734.27,0.7635,0.0552
31,1003.45,504188.11,0.7547,0.1155
32,840.68,478107.28,0.8665,0.025
33,1092.34,557443.63,0.8065,0.1009
34,1099.16,540313.14,0.8339,0.0654
35,813.4,466056.23,0.8927,0.0403
36,885.47,537695.3,0.8694,0.0199
37,938.47,528021.99,0.8756,0.0144
38,1068.88,511515.36,0.8019,0.0777
39,875.5,521398.04,0.8749,0.046
40,1039.18,562491.71,0.7813,0.057
41,933.38,551537.67,0.8473,0.0356
42,974.93,452909.44,0.8335,0.0931
43,1103.02,544979.12,0.8175,0.0522
44,946.86,438178.83,0.8228,0.045
45,1013.9,500059.41,0.8475,0.0322
46,839.02,422019.49,0.8551,0.0468
47,929.23,492907.66,0.8363,0.0465
48,889.87,432179.71,0.863,0.0429
